"region","n_pix","F090W","F115W","F150W","F182M","F200W","F210M","F277W","F356W","F410M","F444W","F090W_err","F115W_err","F150W_err","F182M_err","F200W_err","F210M_err","F277W_err","F356W_err","F410M_err","F444W_err","F090W_n_eff","F115W_n_eff","F150W_n_eff","F182M_n_eff","F200W_n_eff","F210M_n_eff","F277W_n_eff","F356W_n_eff","F410M_n_eff","F444W_n_eff"
11,115,3.15718698027964e-06,4.26867770197461e-06,4.85502040150271e-06,5.18425645473517e-06,5.28919445160953e-06,4.70405393846918e-06,3.14809615856617e-06,2.8464779544364e-06,3.05450298076707e-06,2.25740051001142e-06,2.94409203962449e-07,3.98056248191954e-07,4.5273298685061e-07,4.83434407119143e-07,4.93219925784388e-07,4.3865529158443e-07,2.93561480466582e-07,2.65435437906199e-07,2.84833871634966e-07,2.10503682970979e-07,115,115,115,115,115,115,115,115,115,115
12,44,1.52403295102972e-06,2.1226706648493e-06,2.48627017625061e-06,2.66576596864261e-06,2.7431145358648e-06,2.47061832434931e-06,1.65079483513555e-06,1.48292716984349e-06,1.59242990736993e-06,1.06003484282541e-06,2.29756612122894e-07,3.20004643127243e-07,3.74819331912457e-07,4.01879340767538e-07,4.13540076019702e-07,3.72459726456511e-07,2.48866685181873e-07,2.23559682445204e-07,2.40067841258475e-07,1.59806265379784e-07,44,44,44,44,44,44,44,44,44,44
13,30,1.29450032114355e-06,1.78106718180575e-06,2.07521547794809e-06,2.21102485179591e-06,2.27365937829031e-06,2.00847343920798e-06,1.34207144974888e-06,1.20498900650987e-06,1.26445542573391e-06,9.08101781607196e-07,2.36342342196001e-07,3.25176890635722e-07,3.78880776318678e-07,4.03676062177712e-07,4.15111509857592e-07,3.66695402934731e-07,2.45027602270374e-07,2.19999886803731e-07,2.30856919878086e-07,1.65795943432297e-07,30,30,30,30,30,30,30,30,30,30
14,34,7.85190304495905e-07,1.07384721577107e-06,1.26420235932229e-06,1.30778717159355e-06,1.33146415351994e-06,1.25671693801005e-06,8.67077224247864e-07,7.90038402070794e-07,9.43863747107279e-07,6.25777218312555e-07,1.34659026288663e-07,1.8416327816396e-07,2.16808915957594e-07,2.24283649595817e-07,2.28344218496638e-07,2.15525176793349e-07,1.48702517167802e-07,1.3549046816339e-07,1.61871297196205e-07,1.07319907555018e-07,34,34,34,34,34,34,34,34,34,34
15,8,3.34543042157975e-07,5.24589662484237e-07,6.31588550744493e-07,6.96151071708501e-07,7.20350199841131e-07,6.82037835022065e-07,4.60693402221828e-07,4.11693706449132e-07,4.47686829497695e-07,2.21246790873182e-07,1.1827882685434e-07,1.85470453841483e-07,2.23300273575607e-07,2.46126571767682e-07,2.54682255568374e-07,2.41136789084947e-07,1.62879714379478e-07,1.45555705801002e-07,1.58281196492863e-07,7.82225530710945e-08,8,8,8,8,8,8,8,8,8,8
16,23,1.2557929980539e-06,1.80220736502545e-06,2.15124768493469e-06,2.28973619339971e-06,2.35194723959725e-06,2.10855341430673e-06,1.3911886644106e-06,1.24489337441985e-06,1.32194114682027e-06,8.45709435935736e-07,2.61850941166187e-07,3.75786212727627e-07,4.48566150515795e-07,4.77443000712017e-07,4.90414900557774e-07,4.39663779692213e-07,2.90082889202421e-07,2.5957821253069e-07,2.75643783647167e-07,1.76342607496679e-07,23,23,23,23,23,23,23,23,23,23
17,14,9.78138648297331e-07,1.49480638746733e-06,1.79505428081301e-06,1.92548660046758e-06,1.99515849835132e-06,1.78645190239372e-06,1.17183953284374e-06,1.03481822013456e-06,1.10112451552104e-06,6.39998578447776e-07,2.61418549906485e-07,3.99503811533144e-07,4.797484363903e-07,5.14607940126697e-07,5.33228538081502e-07,4.7744935405056e-07,3.13187288869893e-07,2.76566802666766e-07,2.94287905518371e-07,1.71046814898139e-07,14,14,14,14,14,14,14,14,14,14
18,8,8.15129320605444e-07,1.23345568657171e-06,1.50446916822495e-06,1.59643938545389e-06,1.64458682539052e-06,1.32853343960734e-06,8.39501619320404e-07,7.19868211728265e-07,7.55269145951596e-07,5.18909949044057e-07,2.88191735072046e-07,4.36092440133984e-07,5.31910175468973e-07,5.64426557603866e-07,5.81449248241847e-07,4.69707502089719e-07,2.96808643919273e-07,2.54511847036845e-07,2.67027967361673e-07,1.83462371897109e-07,8,8,8,8,8,8,8,8,8,8
19,116,2.06622202335383e-06,2.57999405561226e-06,2.8778623419937e-06,3.02344324617247e-06,3.07622014760405e-06,2.61250495911638e-06,1.70995462776278e-06,1.5158804678998e-06,1.52882651211101e-06,1.52869652285594e-06,1.91843898687781e-07,2.39546434325851e-07,2.67202810411762e-07,2.8071965802856e-07,2.85619870308197e-07,2.42564995936171e-07,1.58765301434912e-07,1.40745968061321e-07,1.41947978090249e-07,1.41935908890909e-07,116,116,116,116,116,116,116,116,116,116
20,28,8.06087875347111e-07,1.02148019669435e-06,1.14071961995381e-06,1.17883525547096e-06,1.21322445032696e-06,9.49961097204524e-07,5.89112924316069e-07,5.07961144428406e-07,4.91760119181845e-07,5.75372426508699e-07,1.52336289502349e-07,1.9304161211647e-07,2.15575745003564e-07,2.22778923049389e-07,2.29277870004869e-07,1.79525772742088e-07,1.11331877991024e-07,9.59956331315233e-08,9.29339271467604e-08,1.087351679847e-07,28,28,28,28,28,28,28,28,28,28
