region,mass,logzsol,dust2,tage,tau,n_pix,sfr_10myr,sfr_100myr,ssfr_10myr,ssfr_100myr,age_mass_weighted,z_used,kpc_per_pixel,area_kpc2,sigma_sfr_10myr,sigma_sfr_100myr
24,14987509.995383533,-0.1754677779148267,3.2326369932647374,0.0534006190227322,1.636198091501176,4,0.2769521259312616,0.1498750999538353,1.847886180003007e-08,1e-08,0.0265550756964896,0.42,0.11065684646091241,0.048979750674695774,5.654420900805899,3.059940034183651
25,369200017.7541136,-1.9999999483320368,4.0869759484788295,4.546338682726105,4.652172582945644,3,0.0479416900028177,0.048408597888283,1.2985289192143758e-10,1.3111753943772298e-10,1.908688906819317,0.42,0.11065684646091241,0.03673481300602183,1.305075106683101,1.3177853356800135
26,325466622.59518546,-1.9999999325450328,4.241588740644034,3.324484044994882,1.3866496965128077,3,0.0235666808810604,0.0243492422370773,7.240890231122912e-11,7.481333121941315e-11,1.054054439387648,0.42,0.11065684646091241,0.03673481300602183,0.6415353435227011,0.6628383335743617
27,460150297.2295148,-1.999999685916805,4.313879492314906,1.928685627649087,0.9588514056016856,5,0.0745127161194522,0.0781280830976792,1.6193125717418942e-10,1.6978818348716692e-10,0.6609470775657097,0.42,0.11065684646091241,0.06122468834336972,1.2170370831707387,1.276087885650136
28,80694553.93643977,-0.0595576778262614,4.737601420044151,5.427154235770532,9.999999750275688,1,0.01120271295346,0.0112532851804844,1.3882861242759952e-10,1.394553242012875e-10,2.469323612193518,0.42,0.11065684646091241,0.012244937668673943,0.9148852576130091,0.9190153094264845
29,958511376.4278768,-1.9999999051695048,4.530175162373783,4.722152033047956,2.194291939152184,5,0.0575909674844147,0.058789258813629,6.008375998524018e-11,6.133391867785791e-11,1.573134773843295,0.42,0.11065684646091241,0.06122468834336972,0.9406494184408776,0.9602214466804311
30,466809809.318663,-1.9999998131635977,4.817605923065852,5.2436877277036045,2.622821811549213,2,0.0279342643086658,0.0284193742159067,5.984078258646186e-11,6.087998505726896e-11,1.801383992004117,0.42,0.11065684646091241,0.024489875337347887,1.140645426890561,1.1604540171981272
31,57055999.794420585,-0.978858192825296,3.891010308194325,0.9076614052598582,0.5000011147248445,1,0.022410994134885,0.0245620086386653,3.927894387204578e-10,4.304894967604649e-10,0.3235174674687922,0.42,0.11065684646091241,0.012244937668673943,1.8302252523684737,2.0058908671705167
32,68208095.53914683,-0.9924352668501718,3.79026265228418,0.7255697638258729,0.5000001955229564,2,0.0421635818613692,0.0462104640834472,6.181609606321612e-10,6.774923668250718e-10,0.2779757759698713,0.42,0.11065684646091241,0.024489875337347887,1.7216740093841274,1.886921164232089
33,421122306.8880707,-1.999999906049924,3.653221916184231,3.93206859522926,1.72740562740762,2,0.0279729727263047,0.0287152301145366,6.642481832181745e-11,6.818738795085674e-11,1.2775345085711842,0.42,0.11065684646091241,0.024489875337347887,1.1422260154850592,1.1725347605483685
34,242884995.55572253,-1.9999999505498265,3.799955952037456,3.504466427206644,1.0857712640957071,1,0.0092788382775821,0.0096748663457727,3.820259977917592e-11,3.9833116589341405e-11,0.9410768733110308,0.42,0.11065684646091241,0.012244937668673943,0.7577693352674245,0.7901115226191618
35,362165519.4113214,-1.9999999718277848,4.040623678175211,2.322828233530948,0.8165680852410833,2,0.027554579466206,0.0291337123101886,7.60828350280125e-11,8.044308678955361e-11,0.6731399987218161,0.42,0.11065684646091241,0.024489875337347887,1.125141679434535,1.1896227281222091
36,351261466.8302556,-1.99999998747731,3.96195740750108,3.903223166990473,4.6220429871354805,3,0.0573418263867344,0.0579039483620051,1.6324542200481234e-10,1.6484571702249032e-10,1.6801390911735548,0.42,0.11065684646091241,0.03673481300602183,1.5609668784031792,1.576269038105981
37,170484251.15001562,-1.9999998093565297,3.8281144675488346,3.404152101853329,2.142841432202313,1,0.0204635651311433,0.0208997245853084,1.2003199705019498e-10,1.2259035332781527e-10,1.2693024948503706,0.42,0.11065684646091241,0.012244937668673943,1.6711857328187925,1.7068053060634094
38,167873976.00790918,-0.9619017887864092,3.92390970514187,1.4660503836373862,7.716804368640077,3,0.1040420763880288,0.1046512877837655,6.197629844850224e-10,6.23391965046655e-10,0.709828932701644,0.42,0.11065684646091241,0.03673481300602183,2.832247339083324,2.8488313732973225
39,60173037.87273681,-0.937004670612926,2.982533733721568,0.4744287512176821,0.5000038777623703,4,0.0768014885287924,0.0841728769724084,1.276343878320122e-09,1.3988470575547496e-09,0.2002519925565579,0.42,0.11065684646091241,0.048979750674695774,1.568025305781519,1.7185239984468585
40,231775445.17838895,-1.9999999174447065,4.045450506283804,3.442334257629484,1.6715821942283613,5,0.0203300957549405,0.0208879108575533,8.771462282940797e-11,9.012132774236167e-11,1.168367776384743,0.42,0.11065684646091241,0.06122468834336972,0.33205715382203543,0.3411681042850966
